TimeStep,X,Y,Battery,Speed,Distance,Minerals,Action,TimeOfDay,Timestamp
0,0,0,100,0,0,0,START,DAY,00:00
1,0,1,92,3,1,0,MOVE_3,DAY,00:30
2,0,2,84,3,2,0,MOVE_3,DAY,01:00
3,1,3,76,3,3,0,MOVE_3,DAY,01:30
4,0,4,68,3,4,0,MOVE_3,DAY,02:00
5,1,5,60,3,5,0,MOVE_3,DAY,02:30
6,2,6,52,3,6,0,MOVE_3,DAY,03:00
7,2,7,44,3,7,0,MOVE_3,DAY,03:30
8,1,8,36,3,8,0,MOVE_3,DAY,04:00
9,2,9,28,3,9,0,MOVE_3,DAY,04:30
10,3,10,20,3,10,0,MOVE_3,DAY,05:00
11,4,11,12,3,11,0,MOVE_3,DAY,05:30
12,5,12,4,3,12,0,MOVE_3,DAY,06:00
13,6,13,0,3,13,0,MOVE_3,DAY,06:30
14,6,14,0,3,14,0,MOVE_3,DAY,07:00
15,5,15,0,3,15,0,MOVE_3,DAY,07:30
16,4,16,0,3,16,0,MOVE_3,DAY,08:00
17,3,17,0,3,17,0,MOVE_3,DAY,08:30
18,2,18,0,3,18,0,MOVE_3,DAY,09:00
19,2,18,8,0,18,1,MINE,DAY,09:30
