TimeStep,X,Y,Battery,Speed,Distance,Minerals,Action,TimeOfDay,Timestamp
1,0,1,92,3,1,0,MOVE_3,DAY,00:30
2,1,1,84,3,2,0,MOVE_3,DAY,01:00
3,1,2,76,3,3,0,MOVE_3,DAY,01:30
4,2,2,68,3,4,0,MOVE_3,DAY,02:00
5,2,3,60,3,5,0,MOVE_3,DAY,02:30
6,3,3,52,3,6,0,MOVE_3,DAY,03:00
7,3,4,44,3,7,0,MOVE_3,DAY,03:30
8,3,4,52,0,7,1,MINE,DAY,04:00
9,4,4,44,3,8,1,MOVE_3,DAY,04:30
10,5,4,36,3,9,1,MOVE_3,DAY,05:00
11,5,4,44,0,9,2,MINE,DAY,05:30
12,6,4,36,3,10,2,MOVE_3,DAY,06:00
13,7,4,28,3,11,2,MOVE_3,DAY,06:30
14,7,4,36,0,11,3,MINE,DAY,07:00
15,6,4,28,3,12,3,MOVE_3,DAY,07:30
16,5,4,20,3,13,3,MOVE_3,DAY,08:00
17,4,4,12,3,14,3,MOVE_3,DAY,08:30
18,3,4,4,3,15,3,MOVE_3,DAY,09:00
19,3,3,0,3,16,3,MOVE_3,DAY,09:30
20,3,2,0,3,17,3,MOVE_3,DAY,10:00
21,2,2,0,3,18,3,MOVE_3,DAY,10:30
22,2,1,0,3,19,3,MOVE_3,DAY,11:00
23,1,1,0,3,20,3,MOVE_3,DAY,11:30
24,1,0,0,3,21,3,MOVE_3,DAY,12:00
25,0,0,0,3,22,3,MOVE_3,DAY,12:30
