TimeStep,X,Y,Battery,Speed,Distance,Minerals,Action,TimeOfDay,Timestamp
1,0,1,100,1,1,0,MOVE_1,DAY,00:30
2,0,2,100,1,2,0,MOVE_1,DAY,01:00
3,0,3,100,1,3,0,MOVE_1,DAY,01:30
4,1,3,100,1,4,0,MOVE_1,DAY,02:00
5,2,3,100,1,5,0,MOVE_1,DAY,02:30
6,2,4,100,1,6,0,MOVE_1,DAY,03:00
7,2,5,100,1,7,0,MOVE_1,DAY,03:30
8,3,5,100,1,8,0,MOVE_1,DAY,04:00
9,4,5,100,1,9,0,MOVE_1,DAY,04:30
10,5,5,100,1,10,0,MOVE_1,DAY,05:00
11,6,5,100,1,11,0,MOVE_1,DAY,05:30
12,7,5,100,1,12,0,MOVE_1,DAY,06:00
13,8,5,100,1,13,0,MOVE_1,DAY,06:30
14,8,6,100,1,14,0,MOVE_1,DAY,07:00
15,8,7,100,1,15,0,MOVE_1,DAY,07:30
16,8,8,100,1,16,0,MOVE_1,DAY,08:00
17,8,9,100,1,17,0,MOVE_1,DAY,08:30
18,8,10,100,1,18,0,MOVE_1,DAY,09:00
19,8,11,100,1,19,0,MOVE_1,DAY,09:30
20,9,11,100,1,20,0,MOVE_1,DAY,10:00
21,10,11,100,1,21,0,MOVE_1,DAY,10:30
22,10,12,100,1,22,0,MOVE_1,DAY,11:00
23,10,12,100,0,22,1,MINE,DAY,11:30
24,10,13,100,1,23,1,MOVE_1,DAY,12:00
25,10,14,100,1,24,1,MOVE_1,DAY,12:30
26,11,14,100,1,25,1,MOVE_1,DAY,13:00
27,12,14,100,1,26,1,MOVE_1,DAY,13:30
28,12,15,100,1,27,1,MOVE_1,DAY,14:00
29,13,15,100,1,28,1,MOVE_1,DAY,14:30
30,14,15,100,1,29,1,MOVE_1,DAY,15:00
31,15,15,100,1,30,1,MOVE_1,DAY,15:30
32,16,15,100,1,31,1,MOVE_1,NIGHT,16:00
33,17,15,98,1,32,1,MOVE_1,NIGHT,16:30
34,17,14,96,1,33,1,MOVE_1,NIGHT,17:00
35,17,13,94,1,34,1,MOVE_1,NIGHT,17:30
36,17,12,92,1,35,1,MOVE_1,NIGHT,18:00
37,18,12,90,1,36,1,MOVE_1,NIGHT,18:30
38,19,12,88,1,37,1,MOVE_1,NIGHT,19:00
39,19,12,86,0,37,2,MINE,NIGHT,19:30
