TimeStep,X,Y,Battery,Speed,Distance,Minerals,Action,TimeOfDay,Timestamp
0,0,0,100,0,0,0,START,DAY,00:00
1,1,1,100,1,1,0,MOVE_1,DAY,00:30
2,2,2,100,1,2,0,MOVE_1,DAY,01:00
3,3,3,100,1,3,0,MOVE_1,DAY,01:30
4,4,4,100,1,4,0,MOVE_1,DAY,02:00
5,5,5,100,1,5,0,MOVE_1,DAY,02:30
6,6,6,100,1,6,0,MOVE_1,DAY,03:00
7,7,7,100,1,7,0,MOVE_1,DAY,03:30
8,8,8,100,1,8,0,MOVE_1,DAY,04:00
9,9,9,100,1,9,0,MOVE_1,DAY,04:30
10,10,10,100,1,10,0,MOVE_1,DAY,05:00
11,9,11,100,1,11,0,MOVE_1,DAY,05:30
12,10,12,100,1,12,0,MOVE_1,DAY,06:00
13,10,12,100,0,12,1,MINE,DAY,06:30
14,11,13,100,1,13,1,MOVE_1,DAY,07:00
15,12,14,100,1,14,1,MOVE_1,DAY,07:30
16,13,15,100,1,15,1,MOVE_1,DAY,08:00
17,14,16,100,1,16,1,MOVE_1,DAY,08:30
18,15,15,100,1,17,1,MOVE_1,DAY,09:00
19,16,15,100,1,18,1,MOVE_1,DAY,09:30
20,17,14,100,1,19,1,MOVE_1,DAY,10:00
21,18,13,100,1,20,1,MOVE_1,DAY,10:30
22,19,12,100,1,21,1,MOVE_1,DAY,11:00
23,19,12,100,0,21,2,MINE,DAY,11:30
24,20,11,100,1,22,2,MOVE_1,DAY,12:00
25,21,10,100,1,23,2,MOVE_1,DAY,12:30
26,22,9,100,1,24,2,MOVE_1,DAY,13:00
27,23,9,100,1,25,2,MOVE_1,DAY,13:30
28,24,9,100,1,26,2,MOVE_1,DAY,14:00
29,25,9,100,1,27,2,MOVE_1,DAY,14:30
30,26,10,100,1,28,2,MOVE_1,DAY,15:00
31,27,11,100,1,29,2,MOVE_1,DAY,15:30
32,28,12,100,1,30,2,MOVE_1,NIGHT,16:00
33,28,12,98,0,30,3,MINE,NIGHT,16:30
